"numero_expediente","url_archivo_TC","url_archivo_original","tipo_expediente","motivos_demanda","sentido_resolucion","fundamentos"
"00063-1992-HC","https://tc.gob.pe/jurisprudencia/1996/00063-1992-HC.pdf","data\sentencia-Extract\1996\sentencia-pdf-1996.csv","Proceso de Habeas Corpus","","Infundada","['[...] la investigación sumaria ha permitido confirmar que la versión de la actora adolece de serias inexactitudes; que, han sido desvirtuados los fundamentos de hecho de la demanda y no se aprecia la violación invocada de los correspondientes derechos constitucionales.']"
"00071-1992-HC","https://tc.gob.pe/jurisprudencia/1996/00071-1992-HC.pdf","data\sentencia-Extract\1996\sentencia-pdf-1996.csv","Proceso de Habeas Corpus","","Improcedente","['[...] del expediente aparece que el demandante ha interpuesto, en forma simultánea, una Acción de Amparo; que los fundamentos invocados y los hechos acreditados en autos indican que, en efecto, la vía adecuada es la del Amparo y no la del Hábeas Corpus.']"
"00061-1992-HC","https://tc.gob.pe/jurisprudencia/1996/00061-1992-HC.pdf","data\sentencia-Extract\1996\sentencia-pdf-1996.csv","Proceso de Habeas Corpus","","Infundada","['[...] de autos aparece que la intervención de los funcionarios denunciados fue consecuencia de una denuncia penal formulada contra el actor, no habiéndose acreditado los hechos invocados en la demanda; que los actos realizados por la Policía Técnica no configuran hostigamiento alguno sino más bien cumplimiento del deber de investigar ante la denuncia planteada; que la constatación del cheque sin fondos es prueba suficiente que amerita la investigación policial.']"
"00087-1992-HC","https://tc.gob.pe/jurisprudencia/1996/00087-1992-HC.pdf","data\sentencia-Extract\1996\sentencia-pdf-1996.csv","Proceso de Habeas Corpus","","Infundada","['Que, de autos no ha sido posible demostrar fehacientemente que el demandado, en su calidad de Rector de la Universidad San Martín de Porres de Lima, haya ordenado personalmente algún tipo de restricción de acceso a los locales de la Universidad al accionante.', 'Que debe tenerse presente que la Universidad en cuestión es privada, y por tanto no podría ser de aplicación al caso, lo dispuesto por el inciso noveno del artículo décimo segundo de la Ley veintitrés mil quinientos seis, por cuanto no existe libertad de tránsito dentro de la propiedad privada.']"
"00072-1992-HC","https://tc.gob.pe/jurisprudencia/1996/00072-1992-HC.pdf","data\sentencia-Extract\1996\sentencia-pdf-1996.csv","Proceso de Habeas Corpus","","Improcedente","['Que por otra parte ha quedado establecido en autos que el agraviado no cumplió oportunamente con el requisito de acreditar el pago de los quinientos sueldos mínimos a favor del tesoro público que le impusieron como condena accesoria a los catorce años de reclusión efectiva; requisito indispensable para acceder a su libertad condicional.', 'Que igualmente es de advertirse que al momento de presentarse la presente Acción de Hábeas Corpus, esto es, el cinco de diciembre de mil novecientos noventa, el afectado ya había cumplido nueve años de la condena de los catorce que se le habían impuesto, por lo que a la fecha, siete de agosto de mil novecientos noventa y seis, serían quince los que han corrido lo que supone que ya se ha vencido en exceso el término, situación que genera que el caso bajo examen se haya convertido en uno de sustracción de materia de acuerdo al inciso 1 del artículo 6° de la Ley 23506.']"
"00029-1992-HC","https://tc.gob.pe/jurisprudencia/1997/00029-1992-HC.pdf","data\sentencia-Extract\1997\sentencia-pdf-1997.csv","Proceso de Habeas Corpus","","Improcedente","['1. Considerando: Que el actual Código Penal, como no podía ser de manera distinta ha sistematizado la participación de todos los agentes del delito, entre ellos la de los encubridores en el evento criminoso, por lo que la hipótesis en que se sustenta la Acción carece de fundamento; que de otra parte, adviértase también que según determina el inciso 2) del artículo 6º de la Ley Nº 23506, de Hábeas Corpus y Amparo, no proceden acciones de garantía contra resoluciones judiciales emanadas de un procedimiento regular, como es el caso.']"
"00088-1992-AA","https://tc.gob.pe/jurisprudencia/1997/00088-1992-AA.pdf","data\sentencia-Extract\1997\sentencia-pdf-1997.csv","Proceso de Amparo","","Fundada","['1. [...] Que, de otro lado, y conforme también ordenaba el mismo artículo 15º del decreto legislativo anotado, dicha incorporación a la carrera administrativa, exigía que las plazas en las que venían desempeñándose, se encontraran vacantes, como, en efecto, acontecía en el caso de autos, según se está al Presupuesto anual no integrado de la Municipalidad Provincial de Chiclayo correspondiente a los años mil novecientos ochenta y siete y mil novecientos ochenta y ocho, obrantes de fojas ciento veintinueve a ciento treinta y uno, y de fojas doscientos seis a doscientos ocho, respectivamente. Que, siendo ello así, al haber la entidad demandada resuelto el contrato de servicios como obreros de los actores, no obstante encontrarse amparados por el Decreto Legislativo Nº 276, ha actuado en forma arbitraria, en franco desconocimiento de lo previsto por el artículo 100º del Decreto Supremo Nº 005\xad90\xadPCM, Reglamento de la Ley de la Carrera Administrativa, que reconoce a los servidores públicos el derecho a la estabilidad laboral e impone, como condición para efectuar su destitución, el previo proceso administrativo por causa prevista en la ley. Que, en tal orden de consideraciones, este Colegiado estima que la entidad demandante ha violado el derecho constitucional a la estabilidad laboral de los actores, reconocido por los artículos 42º y 48º de la Constitución de 1979, aplicable al caso de autos tras encontrarse vigente al momento de interponerse el presente proceso constitucional de Amparo.']"
"00114-1992-AA","https://tc.gob.pe/jurisprudencia/1997/00114-1992-AA.pdf","data\sentencia-Extract\1997\sentencia-pdf-1997.csv","Proceso de Amparo","","Improcedente","['Que, el demandante hace uso, casi en forma simultánea del recurso de reconsideración y de la Acción de Amparo, ya que ésta es presentada días después de aquélla por lo que el justiciable no ha cumplido, para la procedibilidad de la Acción, lo establecido en el artículo 27º de la Ley Nº 23506, que establece como requisito para optar por la Acción de garantía, el agotamiento de las vías previas para reclamar su derecho. Que, no aparece de autos la resolución recaída sobre el recurso de reconsideración que planteó el interesado de la resolución cuestionada, menos el recurso impugnatorio presentado en instancia superior para dar por agotada la vía administrativa.']"
"00110-1992-AA","https://tc.gob.pe/jurisprudencia/1997/00110-1992-AA.pdf","data\sentencia-Extract\1997\sentencia-pdf-1997.csv","Proceso de Amparo","","Infundada","['Que, el demandante, no puede invocar un status disciplinario diferente del castrense, ya que si en su momento decidió formar parte de la Marina de Guerra del Perú, es más que evidente que lo hizo siendo conocedor de sus rigores y por tanto mal puede cuestionar sus normas internas por el hecho de parecerle injustas o arbitrarias. [...]', 'Que, por consiguiente, si el demandante no fue sancionado en términos penales por el último de los cargos referidos, esto es, por el de desobediencia, no puede pretender que a nivel administrativo tal falta sea ignorada, pues ello sería desnaturalizar la disciplina y el ejemplo que debe caracterizar a los Institutos Armados.', 'Que, por último y a mayor abundamiento, fue el propio demandante, quien reconoció no sólo su grave falta de desobediencia a nivel de la investigación en el Fuero Privativo, sino que incluso expresó su voluntad de afrontar las decisiones que al respecto se adopten, conforme fluye de las instrumentales de fojas ciento nueve a ciento doce de los autos.']"
"00048-1992-AA","https://tc.gob.pe/jurisprudencia/1997/00048-1992-AA.pdf","data\sentencia-Extract\1997\sentencia-pdf-1997.csv","Proceso de Amparo","La Compañía demandante representada por su Gerente General, Leonelo Salinas Ruiz Cornejo interpone acción de amparo sustentando su reclamo en la transgresión a su derecho de propiedad reconocido por la Constitución Política de 1979, al haberse promulgado la Ley No. 24784 que declara ""sin efecto"" la concesión por denuncio y la Licencia otorgada a la Compañía Nacional Hotelera Churín S.A. para la explotación de las fuentes minero medicinales de Churín y encarga al Concejo Distrital de Churín la administración de las mismas. Especifica la demandante que tanto el artículo 37 de la Constitución de 1933 como la Ley No. 9554 del dos de marzo de mil novecientos cuarenta y dos, declararon que el Estado es el propietario de las aguas sin excepción alguna debiendo incorporarse a su patrimonio las que hasta esa fecha eran dominio particular, situación que acontecía con los treinta y seis mil trescientos noventa y dos metros cuadrados de terreno y de las fuentes pertenecientes a la Comunidad de Churín y los seis mil metros cuadrados de terreno y fuentes pertenecientes a la Comunidad de Andajes, que precisamente y por ese motivo fueron , vía expropiación, incorporadas al Estado. Manifiesta que en el año 1955 la misma demandante solicita al Presidente de la República la explotación de los ""Baños de Churín"" y el de ""Fierro"" comprometiéndose a realizar una inversión en obras para el mejor aprovechamiento de las aguas, lo que mereció opinión favorable de parte del Ministerio de Salud. Posteriormente y Luego de formarse el Expediente de Concesión se expidió la Resolución Suprema No. 86­SNT del veintinueve de marzo de mil novecientos cincuenta y nueve por la que se dispone la inscripción de las fuentes que conforman los ""Baños de Churín"" y los ""Baños de Fierro"" en el Registro Oficial de Fuentes de propiedad del Estado y se concede su explotación a la Compañía Nacional Hotelera Churín S.A. por el término de cincuenta años, concesión que fue elevada a Escritura Pública con fecha veintidós de setiembre de mil novecientos cincuenta y ocho. En forma paralela a la citada concesión y si bien es cierto que la Comunidad de Churín recurre al Poder Judicial a través de una acción reinvindicatoria, su pretensión solo deviene fundada en parte ya que solo se le acepta el pago por lo no justispreciado, habiendo quedado materializada la cosa juzgada con fecha seis de octubre de mil novecientos cincuenta y ocho. Posteriormente sin embargo y con fecha trece de noviembre de mil novecientos sesenta y tres se expide el Decreto Supremo No. 183­STN por el que se declara ""Nula e Insubsistente"" la Resolución Suprema No. 086­STN disponiendo entre otras cosas, la restitución en pleno dominio de las Comunidades Indígenas de Churín y Andajes, sobre las fuentes y los terrenos, circunstancia frente a la cual, la demandante interpuso ante el Poder Judicial recurso de Habeas Corpus que le es favorable tanto en el Tercer Tribunal Correccional como en la Corte Suprema de Justicia de la República en la medida en que se dispone la nulidad del Decreto Supremo antes referido fundamentalmente por haberse transgredido el principio de cosa juzgada reconocido por la Constitución Política de 1933. A mérito de estos pronunciamientos la demandante nuevamente obtuvo la posesión de las fuentes hasta que mediante la Resolución Suprema No. 000109­73­SA/DS del veintitrés de mayo de mil novecientos sesenta y tres y de conformidad con el artículo 144 de la Ley General de Aguas y el artículo 131 de su Reglamento, se le otorgó la correspondiente Licencia, documento que entre otras cosas dispuso la reducción del plazo de explotación de cincuenta a treinta a años, el aumento del cánon a la concesionaria y una inversión adicional en la concesión de explotación. Con todos estos precedentes la demandante solicita, finalmente, que se declare que la Ley No. 24784 no produce efectos legales de clase alguna por ser violatoria de la Constitución. A fojas setenta y ocho y con fecha siete de marzo de mil novecientos ochenta y ocho se da por admitida la demanda por el Décimo Séptimo Juzgado en lo Civil de Lima, disponiéndose su traslado al Procurador Publico en los Asuntos de Justicia, con conocimiento del Concejo Distrital de Pachangará, de la Empresa Nacional de Turismo y del Ministerio de Salud. En el mismo auto admisorio y de conformidad con el artículo 31 de la Ley No. 23506, se dispone también, la suspensión de los efectos de la Ley No. 24784, hasta que se resuelva la acción. Posteriormente la Procuradora Pública a cargo de los Asuntos del Ministerio de Justicia se apersona al proceso y contesta la demanda negándola y contradiciéndola fundamentalmente por estimar: Que la Ley No. 24784 no es violatoria a la Constitución en lo que respecta al derecho de propiedad, ya que el Estado es el propietario de las fuentes minero medicinales de Churín, atributo normado por el artículo 37 de la Constitución de 1933, la Ley No. 9554 del dos de marzo de mil novecientos cuarenta y dos, la Ley General de Aguas o Decreto Ley No. 17752, y el artículo 118 de la Constitución de 1979, todo ello concordante con la Cláusula Primera de la Concesión de Explotación que le otorgara el Estado a la demandante el veintidós de Setiembre de mil novecientos cincuenta y ocho y la Licencia otorgada mediante Resolución Suprema No. 000109­73­SA/DS del veintidós de mayo de mil novecientos setenta y tres; Que el Estado es igualmente propietario de las instalaciones construídas en mérito a lo dispuesto por la Cláusula Quinta de la indicada Licencia corroborada con la Cláusula Séptima de la mencionada concesión, por lo que los accionantes no pueden irrogarse el título de propietarios y más aún cuando su propio representante legal, al momento de contestar la demanda de amparo que le interpusiera el Concejo Distrital de Pachangará textualmente sostuvo que ""he cumplido con entregar las fuentes minero medicinales de Churín al Concejo… para que cumpla y haga efectivo el mandato del artículo 2 de la Ley 24784…"". Finalmente la Procuradora solicita, al Juzgado que se notifique al Procurador Público a cargo de los asuntos del Ministerio de Industría, Comercio Interior, Turismo e Integración. Correlativamente y luego de notificado, el Procurador de los asuntos del Ministerio de Industría también se apersona al proceso negando la demanda y haciendo ver que su sector no tiene nada que ver con la demanda interpuesta por no haber transgredido derecho constitucional alguno y que en todo caso quien si tiene legítimo interes y por tanto debió ser emplazado, es el Concejo Distrital de Pachangará ya que es el directo beneficiario de los efectos de la ley cuestionada. Puntualiza además que actualmente existe ante el Décimo Sexto Juzgado Civil de Lima (Exp. No. 1694­88) una acción de amparo seguida por el Concejo Distrital de Pachangará contra la Compañía Nacional Hotelera Churín S.A. para el cumplimiento cabal de la Ley No. 24784 y a donde se ha ordenado a la demandada de esa causa, de conformidad con el artículo 31 de la Ley 23506, entregue al Concejo demandante, el complejo La Meseta, habiéndose incluso expedido sentencia declarando fundada la causa respectiva, por lo que la acción promovida es respuesta a la que con anterioridad le interpuso el Concejo Distrital de Pachangará. Por último afirma el Procurador que la demandante de esta causa persigue en el fondo que se declare la inconstitucionalidad de la ley cuestionada, lo que no es atribución del Poder Judicial a través del amparo sino del Tribunal de Garantías Constitucionales a través de la acción de inconstitucionalidad. De fojas ciento diecisiete a ciento dieciocho vuelta y con fecha siete de abril de mil novecientos ochenta y ocho, el Décimo Séptimo Juzgado en lo Civil de Lima expide sentencia declarando Fundada la demanda y deja sin efecto la ley cuestionada fundamentalmente por considerar: Que conforme el artículo 233 inciso 9 de la Constitución Política del Estado en concordancia con el artículo 3 de la Ley Orgánica del Poder Judicial, una de las garantías de la Administración de Justicia es la unidad y exclusividad de la función jurisdiccional; Que conforme a la Cláusula Segunda del contrato de Concesión y Explotación de Aguas Minero Medicinales del Distrito de Pachangará, celebrado entre el Supremo Gobierno y la empresa demandante el plazo de la referida concesión es de cincuenta años y que comenzó a regir a partir del quince de abril de mil novecientos cincuenta y nueve; Que conforme el artículo 1328 del Código Civil de 1936 concordante con los artículos 1361 del Código Civil vigente, los contratos son obligatorios en cuanto se haya expresado en ellos, debiendo cumplirse de acuerdo a las reglas de la buena fe y común intención de las partes; Que el acto jurídico que contiene un contrato celebrado con observancia de la ley no puede ser anulado o dejarse sin efecto a no ser mediante sentencia ejecutoriada en la que la parte vencida haya sido debidamente citada, pues de no ser así no solo se violaría las normas legales antes nombradas sino incluso el derecho de defensa que consagra la Constitución; Que el Supremo Gobierno mediante la ley 24784 en forma unilateral y sin decisión judicial alguna ha dejado sin efecto la concesión por denuncio y licencia otorgada a la accionante y a que se contrae el contrato anteriormente aludido, que se trasunta en el derecho de usufructo y posesión que le corresponde a la Compañía demandante, y que ha sido desconocido por parte del Estado; Que si el Decreto Supremo No. 183­STN del trece de noviembre de mil novecientos sesenta y tres que declaró nula la Resolución Suprema No. 86­STN fue impugnado ante el Poder Judicial a través de un Habeas Corpus siendo declarado fundado y trayendo como consecuencia la nulidad del mencionado Decreto así como recobrando validez plena el contrato de concesión, la ejecutoria respectiva tiene efectos de cosa juzgada; Que en tal sentido el Estado ha intentado revivir un proceso fenecido por el que se otorgó validez definitiva y vigencia al contrato de concesión, lo que contraviene el artículo 233 incisos 2 y 11 de la Constitución de 1979, por lo que ante las circunstancias expuestas la ley cuestionada no puede anteponerse ni ser prevalente a las normas constitucionales mencionadas teniendo en cuenta la jerarquía de normas a que se refiere el artículo 236 de la Carta Fundamental. Interpuesto recurso de apelación por los Procuradores Públicos del Ministerio de Industria Comercio Turismo e Integración y del Ministerio de Justicia, los autos son elevados a la Cuarta Fiscalía Superior en lo Civil para efectos de la vista correspondiente, y devueltos estos con dictamen que se pronuncia porque se revoque la apelada, la Cuarta Sala Civil de la Corte Superior de Justicia de Lima, a fojas doscientos nueve y doscientos nueve vuelta y con fecha diecisiete de octubre de mil novecientos ochenta y ocho revoca la resolución apelada y declara improcedente la acción fundamentalmente por considerar: Que según el testimonio del veintidós de setiembre de mil novecientos cincuenta y ocho, el Estado como propietario y la Compañía Nacional Hotelera Churín S.A. en condición de usufructuaria celebraron contrato para la explotación de las fuentes minero medicinales de Churín; Que el diecisiete de diciembre de mil novecientos ochenta y siete se expidió la Ley No. 24784 por la que se deja sin efecto la concesión y la licencia para la explotación de las fuentes en referencia; Que para el caso de autos la acción de amparo ha perdido actualidad pues conforme a lo previsto en el artículo 950 del Código Civil anterior, recogido por el artículo 1001 del Código Civil vigente, el usufructo a favor de una persona jurídica, no puede exceder de treinta años y que cualquier plazo mayor que se fije se reduce a éste; Que así mismo y de acuerdo a los artículos 943 y 1021, de los acotados, respectivamente, el usufructo se extingue al cumplimiento del plazo máximo aludido; Que de la Cláusula Segunda del contrato de concesión se advierte que la explotación fue pactada por un plazo de cincuenta años, que por aplicación de los dispositivos señalados quedó reducido a treinta años, los que vencieron el veintiuno del mes próximo pasado; Que en este orden y sin necesidad de recurrir a la Ley impugnada, el contrato de usufructo se extinguió en la mencionada fecha y mal se haría con legalizar vía amparo, la permanencia de la sociedad demandante por mas tiempo del convenido; Que por último no se percibe efecto alguno de cosa juzgada ya que la resolución judicial invocada, define una situación jurídica distinta a la que sirve de sustento a esta resolución. Interpuesto recurso de nulidad por la Compañía Nacional Hotelera Churín S.A. los autos son remitidos a la Fiscalía Suprema en lo Contencioso Administrativo para efectos de la vista correspondiente, y devueltos estos con dictamen que se pronuncia en favor de la recurrida, la Segunda Sala Civil de la Corte Suprema de Justicia de la República, con fecha veintiséis de noviembre de mil novecientos noventa y uno, de conformidad con el dictamen fiscal y por los fundamentos pertinentes de la recurrida, declara no haber nulidad en la sentencia de vista. Contra esta resolución la demandante interpone recurso de casación por lo que de conformidad con la Quinta Disposición Transitoria de la Ley No. 26435 y entendiendo dicho recurso como ""Extraordinario"", se dispuso el envío de los autos al Tribunal Constitucional.","Improcedente","['Que si bien la Compañía Nacional Hotelera Churín S.A. invoca como causalidad de su pretensión una presunta transgresión a su derecho constitucional de propiedad, es necesario precisar que en el caso de autos no existe por lo menos desde el punto de vista de los intereses de la demandante, una legítima invocación al atributo que expresamente se reclama, por cuanto el mantenimiento o no de la concesión de explotación de las fuentes minero medicinales de Churín, nada tiene que ver con la calidad de propietario de las mismas desde que por principio general, reconocido por todas nuestras Constituciones y específicamente por la de 1933 -vigente en el momento de nacida la relación jurídica examinada- es el Estado el único y exclusivo propietario de los recursos o fuentes naturales, sin que pueda invocarse atributos particulares de igual nivel, sino únicamente concesiones emanadas del propio Estado y sujetas a las condiciones establecidas por la Ley. [...]', 'Que en todo caso, si lo que esta en discusión en la presente causa, es como se dijo, el mantenimiento de la concesión que efectivamente otorgara el Estado en favor de la demandante según la Escritura Publica referida en el párrafo anterior, es de precisarse, que si bien la Ley No. 24784, deja sin efecto la Concesión por Denuncio y la Licencia expedidas sobre la Compañía Nacional Hotelera Churín S.A., en las actuales circunstancias carece de objeto pronunciarse sobre la arbitrariedad o no que encierra la misma, (arbitrariedad que en todo caso no se relacionaría con el derecho de propiedad, como se ha visto, sino con el derecho de contratación), toda vez que conforme al artículo 950 del Código Civil de 1936, vigente en el momento de entablada la relación jurídica, ""El usufructo... en favor de una persona jurídica -como ocurre con la demandante no pasará de treinta años, y cualquier tiempo mayor que se fije, se reduce a éste"", por lo que si la Escritura Pública que contiene el contrato tantas veces referido, estableció en su Cláusula Segunda, que la explotación de las fuentes rige por cincuenta años y que el plazo se computa desde el quince de abril de mil novecientos cincuenta y nueve o en todo caso desde el momento en que la concesionaria tome posesión de las fuentes, lo que se produjo el veinticinco de mayo de mil novecientos sesenta y dos, como se reconoce expresamente en la demanda, quiere ello decir que, por mandato del dispositivo acotado, desde el veinticinco de mayo de mil novecientos noventa y dos, se extinguió automáticamente y por completo la concesión en favor de la Compañía demandante.', 'Que por consiguiente y no existiendo a la fecha situación de hecho que pueda reputarse como lesiva o transgresora de los derechos constitucionales por haberse producido sustracción de la materia justiciable, carece de objeto la presente demanda de conformidad con el inciso 3 del artículo 6 de la Ley No. 23506.']"
